"genes","logFC","logCPM","LR","PValue","FDR","Gene_Symbol"
"ENSG00000185947",0.378768814488583,4.58248020363783,22.8976424143381,1.70861291647214e-06,0.000137746237559839,"ZNF267"
"ENSG00000204682",0.656448802442211,3.86321273466338,22.8673489788656,1.73575484050769e-06,0.000139065227873967,"MIR1915HG"
"ENSG00000165527",-0.361886108493987,7.99486662893554,22.706234413243,1.88754469389493e-06,0.000149212369825691,"ARF6"
"ENSG00000117859",-0.399132582377473,6.20379181997865,22.7057090816448,1.8880607945693e-06,0.000149212369825691,"OSBPL9"
"ENSG00000253719",0.387092737974993,7.60968559757605,22.6965208234137,1.89711052418121e-06,0.000149212369825691,"ATXN7L3B"
"ENSG00000126216",-0.540499121936683,5.43375132843922,22.6685742360242,1.92490408466584e-06,0.000150480835079422,"TUBGCP3"
"ENSG00000030110",0.309523975162174,5.68089136958059,22.5972707755471,1.99768187164179e-06,0.000155229508809081,"BAK1"
"ENSG00000185129",-0.377763099388104,5.5586827819682,22.5134392904097,2.08678523073944e-06,0.000161182291564718,"PURA"
"ENSG00000137275",-0.348718046260319,5.64717572649725,22.3632879661209,2.25646363641694e-06,0.000173250740750846,"RIPK1"
"ENSG00000143228",-0.679724763725017,5.02946709324362,22.3087571719974,2.32145535648927e-06,0.000177186110315711,"NUF2"
"ENSG00000065970",-0.3097533962772,5.06834640950763,22.2308652932079,2.4175603578849e-06,0.000183435947390337,"FOXJ2"
"ENSG00000158480",0.314790714781725,5.45213606872821,22.2166520308816,2.43552291681815e-06,0.000183718187742908,"SPATA2"
"ENSG00000170871",-0.371431275955264,5.61124738525373,22.0230425402134,2.69396770070295e-06,0.00020203191494981,"KIAA0232"
"ENSG00000108639",0.274386055440358,7.38743386423086,21.9568591580945,2.78848503802969e-06,0.000207911378644768,"SYNGR2"
"ENSG00000100227",-0.29858776610154,6.47573009791692,21.7403791971054,3.12151332034796e-06,0.00023140459953545,"POLDIP3"
"ENSG00000086544",0.35756633097469,4.80629770529646,21.5372455106083,3.47022942689101e-06,0.000255785653585527,"ITPKC"
"ENSG00000138678",-0.409276491001997,5.27512954573141,21.4788537892579,3.57752063807323e-06,0.000260752458070341,"GPAT3"
"ENSG00000120802",-0.570207394545952,8.44959101235493,21.4785734709567,3.57804365287622e-06,0.000260752458070341,"TMPO"
"ENSG00000182118",-0.639804436552743,2.61136016872402,21.4107681600476,3.70683475477772e-06,0.000266897073094155,"FAM89A"
"ENSG00000125651",-0.362540432154157,6.64040110870295,21.403800908566,3.72032929929395e-06,0.000266897073094155,"GTF2F1"
"ENSG00000071189",-0.375294458706018,5.00770587545766,21.4016867155917,3.72443392177285e-06,0.000266897073094155,"SNX13"
"ENSG00000187951",-0.420070390618278,3.45735783501628,21.3564102413493,3.81343541455684e-06,0.000271765212223031,""
"ENSG00000118454",0.316203276466376,5.7090377830186,21.2967378284003,3.93400399091808e-06,0.000278817129004683,"ANKRD13C"
"ENSG00000109466",-0.34671751968796,4.77886147707131,21.1037821510611,4.35068576206144e-06,0.000306663910627489,"KLHL2"
"ENSG00000185262",-0.371869152075485,5.46471390576914,21.0766590076007,4.41270550790022e-06,0.000309345045360897,"UBALD2"
"ENSG00000151876",-0.549772475148896,2.71281948282155,21.059735597176,4.45185127210577e-06,0.000310402321939959,"FBXO4"
"ENSG00000151287",-0.454861395925675,4.07835595294506,20.991874571867,4.61235368248655e-06,0.000319864248120398,"TEX30"
"ENSG00000101773",-0.433727826478554,5.89060211471037,20.9732012173766,4.65752938617584e-06,0.000321269901349103,"RBBP8"
"ENSG00000119899",-0.63584089765615,4.02891626306982,20.8638134214632,4.9312308494016e-06,0.000338340142161868,"SLC17A5"
"ENSG00000177663",-0.354943901289635,4.89862741945147,20.8456487779569,4.97821906735971e-06,0.000339756866401444,"IL17RA"
"ENSG00000171488",-0.594198747347706,5.3895673775306,20.8193817194345,5.04696244825067e-06,0.000342635624315713,"LRRC8C"
"ENSG00000285508",0.542359969792414,3.60238209266452,20.7909487453192,5.12244847685336e-06,0.000345939596350426,""
"ENSG00000064601",0.345905866877661,7.33802512203362,20.6719412859399,5.45089454969066e-06,0.000366203587481562,"CTSA"
"ENSG00000186106",0.545284665296029,4.65737213668385,20.6515181149675,5.50934856999893e-06,0.000368212887069514,"ANKRD46"
"ENSG00000112033",-0.310586617569793,5.23720693400639,20.6139906516569,5.61840267468974e-06,0.000373565856189809,"PPARD"
"ENSG00000280800",1.08101349024003,6.37495351804312,20.3131216864052,6.57481358430143e-06,0.00043050010367464,""
"ENSG00000288254",1.08101349024003,6.37495351804312,20.3131216864052,6.57481358430143e-06,0.00043050010367464,""
"ENSG00000288444",1.08101349024003,6.37495351804312,20.3131216864052,6.57481358430143e-06,0.00043050010367464,""
"ENSG00000108654",-0.55058267281409,9.69096328944917,20.2555926075876,6.77551074574883e-06,0.000440125351526315,"DDX5"
"ENSG00000196937",0.282126103591271,6.83311329752213,20.251489702983,6.79005697757475e-06,0.000440125351526315,"FAM3C"
"ENSG00000069869",-0.35222151580291,6.07325691324574,20.2409850321831,6.82744274661591e-06,0.000440335919942993,"NEDD4"
"ENSG00000120942",-0.458661883079244,4.52420665655808,20.1772651000744,7.05868978794274e-06,0.000452985271515788,"UBIAD1"
"ENSG00000122966",-0.418796999160133,6.31922430188257,20.1605253804741,7.12073362348845e-06,0.000454704668363255,"CIT"
